User name,AWS access key,Event time,Event source,Event name,AWS region,Source IP address,User agent,Error code,Resources,Request ID,Event ID,Read-only,Event type,Recipient Account Id,Event category
root,,2021-04-08T19:55:33Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,542b40ec-3696-41e0-8efd-8fe22ae358ff,false,AwsConsoleSignIn,918025571920,Management
CloudTrail,,2021-04-08T19:53:29Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,e608d9de-dd65-4035-bbf2-a61f377a9259,false,AwsConsoleSignIn,918025571920,Management
Accountant,ASIA5LPUWRZIHTWAWX6K,2021-04-08T19:53:02Z,iam.amazonaws.com,ChangePassword,us-east-1,AWS Internal,AWS Internal,,[],bf1b6983-8dee-4463-b43a-e47133a4fe7d,298f3c65-8c00-4730-8571-577d87ea0927,false,AwsApiCall,918025571920,Management
Accountant,,2021-04-08T19:52:44Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,f3dc932e-9a0f-4a4e-b33c-bf2ef21b2deb,false,AwsConsoleSignIn,918025571920,Management
root,ASIA5LPUWRZIGOAGKPXW,2021-04-08T19:52:02Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,84.162.64.137,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",a3c5a284-7155-40c7-9b02-37ae4c1b3d39,de1d86dc-5fd6-4bfc-b1c1-23cef801d1aa,false,AwsApiCall,918025571920,Management
root,,2021-04-08T19:50:35Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,b1446f4f-6c55-4275-a8cf-51b79312dfab,false,AwsConsoleSignIn,918025571920,Management
CloudTrail,,2021-04-08T19:46:49Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,e65a76be-661a-4e7b-9634-fe921e4845f6,false,AwsConsoleSignIn,918025571920,Management
Accountant,,2021-04-08T19:45:38Z,signin.amazonaws.com,ConsoleLogin,us-east-1,84.162.64.137,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",,[],,15ebeb35-0b42-486f-a6b9-615a14821ae5,false,AwsConsoleSignIn,918025571920,Management
root,ASIA5LPUWRZIBXBN2J4W,2021-04-08T19:43:36Z,iam.amazonaws.com,UpdateLoginProfile,us-east-1,84.162.64.137,console.amazonaws.com,,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",fa70bda3-efbf-4463-89a7-2bc6406d9fb9,96344725-d266-4ab3-a6ef-21ab5ea6f7c2,false,AwsApiCall,918025571920,Management
root,ASIA5LPUWRZIGIMU4BL6,2021-04-08T19:42:35Z,cloudtrail.amazonaws.com,StartLogging,us-east-1,84.162.64.137,console.amazonaws.com,,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:918025571920:trail/Udacity_Trail""}]",87934950-95da-43fa-aa56-2e565530462c,af9fcfd9-fc10-4f99-80bc-811e6a96038a,false,AwsApiCall,918025571920,Management
